sl,tp,n,pf,exp,net,mdd,wr
30.0,50.0,25,2.033361232206942,13.729320000000003,343.23300000000006,90.63099999999997,56.00000000000001
30.0,75.0,25,1.8449180553467266,13.261800000000001,331.545,90.63099999999997,48.0
30.0,100.0,25,1.6319891906985111,10.683119999999999,267.078,115.868,44.0
40.0,3.0,25,1.9198500000000003,1.4717599999999995,36.79399999999999,40.0,96.0
40.0,5.0,25,3.1011499999999996,3.3618400000000004,84.046,40.0,96.0
40.0,10.0,25,1.3339359182146862,2.1428,53.57,69.61,84.0
40.0,15.0,25,1.5108702153110047,4.100039999999999,102.50099999999998,64.55,80.0
40.0,20.0,25,2.0423395135566187,8.3654,209.135,59.506,80.0
40.0,25.0,25,2.479151714513556,11.871080000000001,296.77700000000004,55.177,80.0
40.0,25.5,25,2.521615829346093,12.21188,305.297,54.359,80.0
40.0,30.0,25,2.623171073530786,13.898240000000001,347.456,49.92,76.0
40.0,35.0,25,2.288522837591923,13.113400000000002,327.83500000000004,44.437,72.0
40.0,50.0,25,2.170540596291192,15.661880000000002,391.547,93.83400000000006,64.0
40.0,75.0,25,2.1507198782626697,16.45488,411.372,93.834,60.0
40.0,100.0,25,1.8472130718822763,13.47672,336.918,103.37700000000001,56.00000000000001
