set,sl,tp,n_tr,net_tr,exp_tr,pf_tr,dd_tr,mar_tr,r2_tr,t_tr,n_te,net_te,exp_te,pf_te,dd_te,mar_te,r2_te,n_f,net_f,exp_f,pf_f,dd_f,mar_f,r2_f,t_f
A_short_only,4,10,65,-51.870999999999995,-0.7980153846153846,0.754041148829027,70.77799999999999,-0.7328689705840798,0.7984738881410735,-1.0137480228185625,36,-33.76099999999999,-0.9378055555555552,0.7055581235119178,62.12099999999999,-0.5434716118542843,0.5934363161160516,101,-85.63199999999999,-0.8478415841584157,0.736965296079913,124.055,-0.6902744750312361,0.9109973659252724,-1.375977065621187
A_short_only,4,12,65,-56.597999999999985,-0.8707384615384614,0.7416678077502398,81.03799999999998,-0.6984130901552358,0.8058300597136867,-1.0372685464286493,36,-15.43099999999999,-0.4286388888888886,0.8654206748589321,52.38099999999999,-0.2945915503713177,0.2868168154892339,101,-72.02899999999997,-0.7131584158415838,0.7841834181770242,120.99500000000002,-0.5953055911401294,0.9003266771666939,-1.0530437311177328
A_short_only,4,15,65,-60.54799999999999,-0.9315076923076921,0.7339333031590697,82.48299999999998,-0.7340664136852443,0.7550691475993144,-1.022213674498753,36,6.939000000000003,0.1927500000000001,1.060517525575392,46.17099999999999,0.15028914253535777,0.006760629439295927,101,-53.60899999999997,-0.5307821782178215,0.8433529693654523,125.703,-0.4264735129630953,0.848824818104539,-0.7003818074387208
A_short_only,4,20,65,-16.63299999999999,-0.25589230769230753,0.9269094376601178,70.939,-0.23446905087469502,0.04963393916558831,-0.22571946782702204,36,-1.737999999999996,-0.04827777777777767,0.9858734790418675,40.951,-0.04244096603257542,0.13091015202228806,101,-18.37099999999998,-0.1818910891089107,0.9476009560807535,86.00199999999998,-0.2136113113648518,0.3337900192124364,-0.2005920895664775
A_short_only,4,25,65,-53.14499999999998,-0.8176153846153843,0.7744145474920092,85.765,-0.6196583687984607,0.29886883728602054,-0.7062749937916223,36,-1.180999999999992,-0.03280555555555534,0.9907089079623321,37.14,-0.0317985998922992,0.05254309252221883,101,-54.32599999999996,-0.5378811881188115,0.8502169849296106,107.462,-0.5055368409298167,0.6291338270801685,-0.5610596632258802
A_short_only,4,30,65,-54.26699999999998,-0.8348769230769228,0.7735799460934436,89.6,-0.605658482142857,0.3304166546474145,-0.6661148290167557,36,-9.788,-0.2718888888888889,0.9253855360151242,56.034000000000006,-0.1746796587785987,0.0981541244793047,101,-64.05499999999998,-0.634207920792079,0.8272775073815912,109.61699999999999,-0.5843527919939424,0.6508881348599863,-0.6143909685187366
A_short_only,4,40,65,-111.68799999999999,-1.7182769230769228,0.5546854752857776,125.95700000000001,-0.8867153076049762,0.7471324851532228,-1.4204637896094148,36,29.109,0.8085833333333334,1.2218995128867751,49.46,0.588536190861302,0.12872004019266925,101,-82.57899999999998,-0.8176138613861385,0.7838178162664795,144.332,-0.5721461630130531,0.6678357533395882,-0.715921869775491
A_short_only,4,50,65,-108.37799999999999,-1.667353846153846,0.567882874082462,142.447,-0.7608303439173867,0.6392299721171333,-1.3021462700619844,36,-0.3210000000000086,-0.008916666666666906,0.9976283884123501,90.274,-0.003555841105966376,0.16439753989598224,101,-108.69899999999997,-1.076227722772277,0.7185115936999881,175.33200000000008,-0.6199609882964885,0.7054489072661657,-0.9251086229514114
A_short_only,5,3,65,-106.53,-1.638923076923077,0.452065363309519,118.65300000000003,-0.8978281206543448,0.925280929263444,-3.143850966994468,36,-19.221,-0.5339166666666667,0.7670859386360332,40.674,-0.4725623248266706,0.7757306526573905,101,-125.75099999999999,-1.245059405940594,0.5459351134701836,145.204,-0.866029861436324,0.9530284327167544,-2.9690392980256477
A_short_only,5,4,65,-106.83200000000001,-1.643569230769231,0.4945615404631798,127.32600000000002,-0.8390430862510405,0.9404650848836055,-2.8433695914859025,36,-26.384000000000007,-0.7328888888888891,0.7300151446932175,55.794,-0.47288238878732497,0.7625683847823264,101,-133.216,-1.318970297029703,0.5690043967918627,166.82,-0.7985613235823044,0.9607560231158961,-2.8302573154879043
