kind,sl,tp,n,exp,net,win,p_tp,p_sl,p_eod,pf
A_S,15,15,101,-0.7839108910891093,-79.17500000000004,47.524752475247524,45.54455445544555,51.48514851485149,2.9702970297029703,0.9002877706902088
F_L,15,15,104,-1.524846153846154,-158.584,45.19230769230769,42.30769230769231,52.88461538461539,4.807692307692308,0.8136281424043454
A_L,15,15,134,2.1440298507462687,287.3,56.71641791044776,55.970149253731336,41.7910447761194,2.2388059701492535,1.3368752330454319
F_S,15,15,116,0.9133534482758621,105.949,51.724137931034484,50.86206896551724,45.689655172413794,3.4482758620689653,1.1288989408166392
A_S,15,18,101,0.5213861386138606,52.65999999999992,47.524752475247524,44.554455445544555,51.48514851485149,3.9603960396039604,1.0663194947325998
F_L,15,18,104,-2.498653846153846,-259.86,38.46153846153847,35.57692307692308,59.61538461538461,4.807692307692308,0.7288911516648791
A_L,15,18,134,2.9983656716417917,401.78100000000006,54.47761194029851,52.98507462686567,44.02985074626866,2.9850746268656714,1.447227348722481
F_S,15,18,116,0.30122413793103453,34.94200000000001,45.689655172413794,43.96551724137931,51.724137931034484,4.310344827586207,1.0376621486890676
A_S,15,20,101,-0.30656435643564356,-30.963,43.56435643564357,38.613861386138616,55.44554455445545,5.9405940594059405,0.9637760086105538
F_L,15,20,104,-2.1505384615384617,-223.656,37.5,34.61538461538461,60.57692307692307,4.807692307692308,0.7702930597807444
A_L,15,20,134,3.2344253731343287,433.413,52.23880597014925,50.74626865671642,46.26865671641791,2.9850746268656714,1.459038357255427
F_S,15,20,116,1.0843620689655176,125.78600000000003,45.689655172413794,43.96551724137931,51.724137931034484,4.310344827586207,1.1355781304734442
A_S,15,22,101,-0.4076237623762376,-41.169999999999995,41.584158415841586,35.64356435643564,57.42574257425742,6.9306930693069315,0.9534703417223094
F_L,15,22,104,-1.952519230769231,-203.062,36.53846153846153,31.73076923076923,61.53846153846154,6.730769230769231,0.7946167586057623
A_L,15,22,134,4.028641791044776,539.838,52.23880597014925,48.507462686567166,46.26865671641791,5.223880597014925,1.57175568961719
F_S,15,22,116,0.1891293103448278,21.939000000000025,41.37931034482759,38.793103448275865,56.03448275862068,5.172413793103448,1.0218607603387475
A_S,15,25,101,0.2066831683168324,20.87500000000007,41.584158415841586,33.663366336633665,57.42574257425742,8.91089108910891,1.0235925823790817
F_L,15,25,104,-1.5280480769230766,-158.91699999999997,35.57692307692308,29.807692307692307,62.5,7.6923076923076925,0.8416795514501358
A_L,15,25,134,4.765365671641791,638.559,50.74626865671642,46.26865671641791,47.76119402985074,5.970149253731343,1.6553806552790475
F_S,15,25,116,0.6643706896551728,77.06700000000004,40.51724137931034,36.206896551724135,56.896551724137936,6.896551724137931,1.0756598033180866
A_S,15,30,101,-0.18488118811881155,-18.672999999999966,36.633663366336634,28.71287128712871,61.386138613861384,9.900990099009901,0.9802496792542836
F_L,15,30,104,-0.26538461538461583,-27.600000000000044,35.57692307692308,27.884615384615387,62.5,9.615384615384617,0.9725036064110433
A_L,15,30,134,4.095940298507463,548.856,44.776119402985074,37.3134328358209,52.23880597014925,10.44776119402985,1.513886054023688
F_S,15,30,116,1.511198275862069,175.299,39.6551724137931,32.758620689655174,57.758620689655174,9.482758620689655,1.1695973080990187
A_S,15,35,101,-0.9331188118811882,-94.245,32.67326732673268,23.762376237623762,64.35643564356435,11.881188118811881,0.9056634935887812
F_L,15,35,104,-0.2992307692307694,-31.12000000000002,33.65384615384615,22.115384615384613,64.42307692307693,13.461538461538462,0.9699154500405059
A_L,15,35,134,3.7921343283582094,508.1460000000001,41.7910447761194,30.597014925373134,55.223880597014926,14.17910447761194,1.450187908308542
F_S,15,35,116,1.6376206896551724,189.964,37.93103448275862,27.586206896551722,59.48275862068966,12.931034482758621,1.178559578293944
A_S,15,40,101,-1.061811881188119,-107.24300000000001,30.693069306930692,20.792079207920793,66.33663366336634,12.871287128712872,0.8958745169621533
F_L,15,40,104,0.1803846153846153,18.75999999999999,33.65384615384615,19.230769230769234,64.42307692307693,16.346153846153847,1.01813580196787
A_L,15,40,134,3.540835820895522,474.472,39.55223880597015,24.62686567164179,56.71641791044776,18.65671641791045,1.4080289704765665
F_S,15,40,116,1.6340689655172413,189.552,36.206896551724135,23.275862068965516,60.3448275862069,16.379310344827587,1.175233819816605
A_S,15,50,101,-1.1135643564356434,-112.46999999999998,29.7029702970297,13.861386138613863,67.32673267326733,18.81188118811881,0.892375265545157
F_L,15,50,104,0.1411826923076921,14.682999999999979,32.69230769230769,13.461538461538462,65.38461538461539,21.153846153846153,1.0139880992075665
A_L,15,50,134,4.99629104477612,669.503,39.55223880597015,18.65671641791045,56.71641791044776,24.62686567164179,1.5757486634005224
F_S,15,50,116,1.6095775862068966,186.711,33.62068965517241,17.24137931034483,62.06896551724138,20.689655172413794,1.1667957537928837
A_S,15,60,101,0.06144554455445595,6.206000000000051,29.7029702970297,12.871287128712872,67.32673267326733,19.801980198019802,1.005938642322635
F_L,15,60,104,1.4196153846153843,147.63999999999996,32.69230769230769,12.5,65.38461538461539,22.115384615384613,1.1406526572910929
A_L,15,60,134,5.448194029850746,730.058,38.80597014925373,13.432835820895523,57.46268656716418,29.1044776119403,1.6187739755866446
F_S,15,60,116,0.868853448275862,100.78699999999999,31.03448275862069,12.068965517241379,64.65517241379311,23.275862068965516,1.0865359930556213
A_S,15,75,101,0.5488118811881186,55.429999999999986,28.71287128712871,7.920792079207921,68.31683168316832,23.762376237623762,1.052287520045279
F_L,15,75,104,0.8669423076923075,90.16199999999998,32.69230769230769,5.769230769230769,65.38461538461539,28.846153846153843,1.0858949125350823
A_L,15,75,134,6.012052238805971,805.6150000000001,38.059701492537314,9.701492537313433,58.2089552238806,32.08955223880597,1.674068508383446
