date,split,kind,hhmm,signal_mel,entry_mel,entry,spread,pnl,why
2026-06-22,HOLD,A_LONG,1005,2026-06-22 10:05:00,2026-06-22 10:10:00,4149.375,0.71,27.013,TP
2026-06-23,HOLD,FLIP_SHORT,1005,2026-06-23 10:05:00,2026-06-23 10:10:00,4184.265,0.7,27.35,TP
2026-06-24,HOLD,A_LONG,1005,2026-06-24 10:05:00,2026-06-24 10:10:00,4110.735,0.77,-15.14,SL
2026-06-25,HOLD,A_LONG,1005,2026-06-25 10:05:00,2026-06-25 10:10:00,4015.495,0.7,-15.16,SL
2026-07-01,HOLD,A_LONG,1005,2026-07-01 10:05:00,2026-07-01 10:10:00,4007.765,0.68,-15.1,SL
2026-07-03,HOLD,A_LONG,1010,2026-07-03 10:10:00,2026-07-03 10:15:00,4135.315,0.77,27.47,TP
2026-07-08,HOLD,A_LONG,1015,2026-07-08 10:15:00,2026-07-08 10:20:00,4103.955,0.83,27.03,TP
2026-07-09,HOLD,A_LONG,1010,2026-07-09 10:10:00,2026-07-09 10:15:00,4088.225,0.82,-15.12,SL
2026-07-10,HOLD,FLIP_SHORT,1005,2026-07-10 10:05:00,2026-07-10 10:10:00,4122.455,0.79,27.01,TP
2026-07-15,HOLD,FLIP_SHORT,1010,2026-07-15 10:10:00,2026-07-15 10:15:00,4051.095,0.79,27.0,TP
2026-07-22,HOLD,A_LONG,1005,2026-07-22 10:05:00,2026-07-22 10:10:00,4088.715,0.8,27.42,TP
2026-07-24,HOLD,FLIP_SHORT,1005,2026-07-24 10:05:00,2026-07-24 10:10:00,4045.385,0.76,-15.02,SL
2026-07-27,HOLD,A_LONG,1005,2026-07-27 10:05:00,2026-07-27 10:10:00,4108.595,0.8,-15.1,SL
2026-08-03,HOLD,FLIP_SHORT,1005,2026-08-03 10:05:00,2026-08-03 10:10:00,4072.975,0.77,27.25,TP
2026-08-04,HOLD,A_LONG,1005,2026-08-04 10:05:00,2026-08-04 10:10:00,4067.645,0.77,-15.09,SL
2026-08-05,HOLD,FLIP_SHORT,1005,2026-08-05 10:05:00,2026-08-05 10:10:00,4072.135,0.69,-15.08,SL
2026-08-10,HOLD,A_LONG,1005,2026-08-10 10:05:00,2026-08-10 10:10:00,4342.235,0.75,-15.22,SL
2026-08-11,HOLD,A_LONG,1005,2026-08-11 10:05:00,2026-08-11 10:10:00,4406.555,0.79,27.19,TP
2026-08-13,HOLD,A_LONG,1005,2026-08-13 10:05:00,2026-08-13 10:10:00,4421.625,0.75,27.04,TP
2026-08-14,HOLD,FLIP_SHORT,1010,2026-08-14 10:10:00,2026-08-14 10:15:00,4351.825,0.75,27.07,TP
2026-08-17,HOLD,A_LONG,1010,2026-08-17 10:10:00,2026-08-17 10:15:00,4379.215,0.75,27.03,TP
2026-08-19,HOLD,A_LONG,1005,2026-08-19 10:05:00,2026-08-19 10:10:00,4340.485,0.76,-16.0,SL
2026-08-20,HOLD,A_LONG,1005,2026-08-20 10:05:00,2026-08-20 10:10:00,4515.365,0.69,-15.02,SL
