branch,sl,tp,pf,wr,total_pnl
flipshort,25,15,1.217142857142857,0.4176470588235294,190
flipshort,25,20,1.12,0.28823529411764703,105
flipshort,25,25,1.0571428571428572,0.21764705882352942,50
flipshort,25,30,0.8228571428571428,0.1411764705882353,-155
flipshort,25,39,0.5794285714285714,0.07647058823529412,-368
flipshort,25,45,0.05142857142857143,0.0058823529411764705,-830
flipshort,25,50,0.05714285714285714,0.0058823529411764705,-825
flipshort,25,60,0.06857142857142857,0.0058823529411764705,-815
flipshort,25,75,0.0,0.0,-875
flipshort,25,100,0.0,0.0,-875
flipshort,30,10,1.2307692307692308,0.5647058823529412,180
flipshort,30,15,1.4230769230769231,0.43529411764705883,330
flipshort,30,20,1.3333333333333333,0.3058823529411765,260
flipshort,30,25,1.2179487179487178,0.2235294117647059,170
flipshort,30,30,0.9615384615384616,0.14705882352941177,-30
flipshort,30,39,0.65,0.07647058823529412,-273
flipshort,30,45,0.057692307692307696,0.0058823529411764705,-735
flipshort,30,50,0.0641025641025641,0.0058823529411764705,-730
flipshort,30,60,0.07692307692307693,0.0058823529411764705,-720
flipshort,30,75,0.0,0.0,-780
flipshort,30,100,0.0,0.0,-780
