cell,horizon,n,mean_ret,med_ret,mfe,mae,mfe_mae,p_mfe_gt1,p_mae_gt1,winrate,low_conf,family,event,tol,src,cut
R100|break|triple+,32,53,0.16677234698681595,0.215346846336742,3.398609980374802,2.948168103240959,1.1527870397344937,0.7547169811320755,0.7358490566037735,0.5094339622641509,True,R100,break,0.75,real,triple+
R100|break|triple+,64,53,-0.44081115405224447,-0.8263645041580053,4.623465840898241,4.903618418337709,0.9428681937420331,0.8490566037735849,0.8490566037735849,0.4339622641509434,True,R100,break,0.75,real,triple+
R100|retest|triple+,4,771,-0.0715029221335158,-0.0817099235332166,0.94025475343881,1.0410953518180592,0.903139901447882,0.35019455252918286,0.3981841763942931,0.4656290531776913,False,R100,retest,0.75,real,triple+
R100|retest|triple+,8,771,-0.10517529628458072,-0.05029784238036981,1.2838057233675393,1.4662627464399314,0.875563214358821,0.490272373540856,0.5421530479896238,0.48638132295719844,False,R100,retest,0.75,real,triple+
R100|retest|triple+,16,771,-0.056049331710809336,-0.1944348570712738,1.876652064992833,2.061720509614332,0.9102359200684685,0.6095979247730221,0.6783398184176395,0.4591439688715953,False,R100,retest,0.75,real,triple+
R100|retest|triple+,32,771,-0.18268489127574045,-0.679790745926752,2.6365413367369035,3.041925093612294,0.8667344709681868,0.6990920881971465,0.8274967574578469,0.4085603112840467,False,R100,retest,0.75,real,triple+
R100|retest|triple+,64,771,-0.38861782191282274,-0.5951759200872239,3.7996674805998736,4.546308305548995,0.8357698654009432,0.8223086900129701,0.9001297016861219,0.43190661478599224,False,R100,retest,0.75,real,triple+
R500|touch,4,658,-0.1570153841451813,-0.026340462963800514,1.0409899282480473,1.2356025286384418,0.8424957898031775,0.3890577507598784,0.4148936170212766,0.48328267477203646,False,R500,touch,0.75,real,all
R500|touch,8,658,-0.06971821661582286,0.009286949677040364,1.5103815371166298,1.758734261008007,0.8587889430498525,0.5334346504559271,0.5942249240121581,0.5030395136778115,False,R500,touch,0.75,real,all
R500|touch,16,657,-0.014939162023090083,-0.15182788710546918,2.1250040994212926,2.439488615028641,0.8710858851031548,0.6575342465753424,0.7199391171993912,0.4764079147640791,False,R500,touch,0.75,real,all
R500|touch,32,653,-0.14728596167378305,-0.0973256522075733,2.8604280223350846,3.331658226530347,0.8585598605394736,0.7580398162327718,0.8055130168453293,0.48085758039816234,False,R500,touch,0.75,real,all
R500|touch,64,653,-0.18755224348066535,-0.09796688221619272,4.296889597664614,4.73734851677958,0.9070241681491512,0.8591117917304747,0.8499234303215927,0.4900459418070444,False,R500,touch,0.75,real,all
R500|touch|T1,4,58,0.1649999005322052,0.3997877838953672,1.4472263085075854,1.392662825739148,1.0391792483866136,0.6551724137931034,0.5172413793103449,0.6379310344827587,True,R500,touch,0.75,real,touch1
R500|touch|T1,8,58,0.35872386079873564,0.49073106551400464,1.9212243901298998,1.7989164811478118,1.067989765096848,0.7758620689655172,0.6206896551724138,0.603448275862069,True,R500,touch,0.75,real,touch1
R500|touch|T1,16,58,0.1950932816323777,0.5815364577593631,2.5252121497962223,2.3402652021514676,1.079028200511091,0.8103448275862069,0.6896551724137931,0.5689655172413793,True,R500,touch,0.75,real,touch1
R500|touch|T1,32,57,0.20003085582797267,0.7883356939355759,3.3033002746438616,2.9883319719685995,1.105399368487087,0.8771929824561403,0.7192982456140351,0.5964912280701754,True,R500,touch,0.75,real,touch1
R500|touch|T1,64,57,0.7942570051905429,0.2358825486886554,4.899878201435269,4.124471202303333,1.1880015548899712,0.8947368421052632,0.7719298245614035,0.5263157894736842,True,R500,touch,0.75,real,touch1
R500|touch|T2,4,44,0.05269723330019013,0.3122525232982708,1.220229239904848,1.0979895112590332,1.1113305067055204,0.5227272727272727,0.3181818181818182,0.6136363636363636,True,R500,touch,0.75,real,touch2
R500|touch|T2,8,44,0.24879747028445312,0.29959681142717537,1.7397527009557285,1.4262472666187467,1.2198114181703008,0.6363636363636364,0.5,0.6363636363636364,True,R500,touch,0.75,real,touch2
R500|touch|T2,16,44,0.22708352996956202,0.6421178958619295,2.2107617453159016,2.1268503693907777,1.0394533518355407,0.7954545454545454,0.6363636363636364,0.5681818181818182,True,R500,touch,0.75,real,touch2
R500|touch|T2,32,43,-0.2629632299852226,0.09710658976190563,2.874337102837927,2.945071461157656,0.9759821249661886,0.8837209302325582,0.7209302325581395,0.5116279069767442,True,R500,touch,0.75,real,touch2
R500|touch|T2,64,43,0.2299571055219088,-0.08971875991414355,4.07220921535024,3.7615144549567483,1.0825983162138517,0.9302325581395349,0.7674418604651163,0.46511627906976744,True,R500,touch,0.75,real,touch2
R500|touch|T3,4,556,-0.20720286917914668,-0.10077671304969127,0.9844283459315863,1.2301087795968104,0.8002774732282212,0.35071942446043164,0.4118705035971223,0.4568345323741007,False,R500,touch,0.75,real,touch3
R500|touch|T3,8,556,-0.13961809200009723,-0.11282073424574324,1.4493721545920075,1.7808545109810627,0.8138633142993565,0.5,0.5989208633093526,0.48201438848920863,False,R500,touch,0.75,real,touch3
R500|touch|T3,16,555,-0.056075883067583425,-0.22052296629294613,2.076381751058935,2.474643643415923,0.839062931983516,0.6306306306306306,0.7297297297297297,0.4594594594594595,False,R500,touch,0.75,real,touch3
R500|touch|T3,32,553,-0.17409054767777615,-0.2310212267871618,2.8136978074287153,3.397106377382147,0.8282630847718659,0.7359855334538878,0.8209764918625678,0.4665461121157324,False,R500,touch,0.75,real,touch3
R500|touch|T3,64,553,-0.3212159490527622,-0.1136395797744259,4.252207691741632,4.87639891747312,0.871997505475837,0.8499095840867993,0.864376130198915,0.488245931283906,False,R500,touch,0.75,real,touch3
R500|touch|above_ema,4,410,-0.27338284764648374,-0.058846709888631846,1.0240811190030243,1.357886693581558,0.7541727331474992,0.4,0.44390243902439025,0.4682926829268293,False,R500,touch,0.75,real,above_ema
R500|touch|above_ema,8,410,-0.3565479662369771,-0.1356497627415581,1.4191452052058544,2.016834274145597,0.7036498850690421,0.5121951219512195,0.6292682926829268,0.4682926829268293,False,R500,touch,0.75,real,above_ema
R500|touch|above_ema,16,410,-0.27948176492980015,-0.3333047924624202,1.9931581604044317,2.7810924023577828,0.7166817466095883,0.6292682926829268,0.7463414634146341,0.43902439024390244,False,R500,touch,0.75,real,above_ema
