inst,tf,fam,n_ma,ent,side,trend,stop,n,wr,pf,net,maxdd,top10,yrs_pos,yrs,is_pf,oos_pf
GOLD,4H,zrev,10,1.5,both,True,0.0,430,58.6046511627907,0.7984755594954172,-881.3749999999711,1078.3519999999758,-84.69039852503496,1,8,0.6882647886568977,0.8696786188779125
GOLD,4H,zrev,10,1.5,both,True,4.0,448,58.70535714285714,0.7983206069480517,-922.4081659991537,1106.5769630953132,-80.92296095313269,1,8,0.7228035896146608,0.8448543527891836
GOLD,4H,zrev,10,2.0,long,False,0.0,292,65.06849315068493,1.1462169881963766,410.4460000000214,562.2699999999988,205.48379080316502,4,8,0.9956459306695916,1.2405879745130135
GOLD,4H,zrev,10,2.0,long,False,4.0,329,66.26139817629179,1.2404547823307426,779.1646993958226,466.4984781327365,145.8388708935516,4,8,1.0482425633273165,1.360903714555407
GOLD,4H,zrev,10,2.0,long,True,0.0,178,61.23595505617978,1.2921674401296632,433.39300000001816,232.9810000000057,148.66645284994797,3,7,0.9551250352918778,1.529378320172325
GOLD,4H,zrev,10,2.0,long,True,4.0,182,62.08791208791209,1.3087090468650888,464.151824015763,207.2143891013083,138.8144927290258,3,7,1.0485478039192537,1.470105726485665
GOLD,4H,zrev,10,2.0,both,False,0.0,587,56.899488926746166,0.7441424748524323,-1856.951999999957,2408.568999999979,-53.009716998609846,1,8,0.7805864871927015,0.7251824706669829
GOLD,4H,zrev,10,2.0,both,False,4.0,702,57.83475783475783,0.8087290919132479,-1775.3360240237753,2605.9824041158067,-88.60041021614157,2,8,0.7877637584932995,0.8184070765516692
GOLD,4H,zrev,10,2.0,both,True,0.0,296,54.729729729729726,1.0536292936453202,141.55200000002174,520.3519999999997,557.2828359895168,3,8,0.7468441603706925,1.304652276195128
GOLD,4H,zrev,10,2.0,both,True,4.0,307,54.72312703583062,1.0502140248969756,137.3941511276559,502.65592751730367,574.1474389743628,3,8,0.7940224383881859,1.2437955818488342
GOLD,4H,zrev,10,2.5,long,False,0.0,102,63.725490196078425,0.8391973052894302,-210.33699999999197,518.2149999999966,-225.5309336921323,4,8,0.7750561772836713,0.8844569044204107
GOLD,4H,zrev,10,2.5,long,False,4.0,119,63.86554621848739,1.0653495981821037,91.72882450182276,394.1934781327366,743.4031818280337,4,8,0.8227681425915266,1.2968374489818593
GOLD,4H,zrev,10,2.5,long,True,0.0,56,60.71428571428571,1.5702121837765435,229.23100000000738,157.86200000000053,149.81394314032144,4,7,1.0135438882365517,2.1709291200124765
GOLD,4H,zrev,10,2.5,long,True,4.0,57,61.40350877192983,1.676809814211509,265.05498012939347,122.03801987061445,130.13451014261864,4,7,1.194937061547012,2.1709291200124765
GOLD,4H,zrev,10,2.5,both,False,0.0,216,57.407407407407405,0.7139225357423199,-819.4379999999832,1138.154999999984,-77.89607023350331,3,8,0.6474259712393626,0.7575834687610384
GOLD,4H,zrev,10,2.5,both,False,4.0,264,57.95454545454546,0.799724304347329,-701.4402363441194,1216.580097234279,-129.88276873712903,2,8,0.6556151670567624,0.8975335670816039
GOLD,4H,zrev,10,2.5,both,True,0.0,94,55.319148936170215,1.4640679226410254,350.74300000000864,274.40600000000313,158.92405550502434,3,8,0.627379537562957,2.8625735644982417
GOLD,4H,zrev,10,2.5,both,True,4.0,98,55.10204081632652,1.49713522477972,376.6101723420493,240.0396247541168,148.0084822280741,3,8,0.6832589292951682,2.8625735644982417
GOLD,4H,zrev,20,1.5,long,False,0.0,244,73.36065573770492,1.1819664474104143,518.9250000000161,610.944999999994,179.5057089174687,6,8,1.2051994726794943,1.1687069696736205
GOLD,4H,zrev,20,1.5,long,False,4.0,298,71.47651006711409,1.1479525178789791,573.249759618136,652.4011193076075,215.4479752111404,6,8,1.1474628862991412,1.1482283836443061
GOLD,4H,zrev,20,1.5,long,True,0.0,160,50.625,0.9305930188891531,-145.63999999998228,856.9079999999847,-662.9051084867627,2,7,0.8755114847532961,0.9536035944731756
GOLD,4H,zrev,20,1.5,long,True,4.0,167,52.09580838323353,0.9232454859242722,-179.12300791469875,890.3910079147013,-558.6451520937699,2,7,0.9547203242172085,0.9113749893572775
GOLD,4H,zrev,20,1.5,both,False,0.0,492,63.617886178861795,0.7869187281912747,-1620.002999999967,2403.970999999982,-75.42887266258327,2,8,0.8852235566046199,0.7390841782838298
GOLD,4H,zrev,20,1.5,both,False,4.0,651,62.0583717357911,0.853809540875666,-1551.9796444667786,2733.1655187812266,-124.01837916252404,2,8,0.8899657572188705,0.8366021232032608
GOLD,4H,zrev,20,1.5,both,True,0.0,276,48.91304347826087,0.9491768696989202,-160.1199999999813,1157.3759999999847,-752.9758930802803,2,8,0.7663917929661216,1.0631336488641825
GOLD,4H,zrev,20,1.5,both,True,4.0,291,48.797250859106526,0.937437365822166,-214.61651940764318,1193.986214437193,-564.1131462487454,2,8,0.7962345328828405,1.0234248093413638
GOLD,4H,zrev,20,2.0,long,False,0.0,176,70.45454545454545,1.0848055999005148,200.48400000001203,739.8749999999948,438.32674926675077,4,8,0.9546350503878664,1.1623787374518308
GOLD,4H,zrev,20,2.0,long,False,4.0,220,68.18181818181817,1.0967770732759166,308.87073283371467,652.4011193076075,383.7479158759018,5,8,0.9744045097850931,1.1700863632003353
GOLD,4H,zrev,20,2.0,long,True,0.0,114,46.49122807017544,1.0078016363984856,10.789000000012066,388.31399999998916,7069.209379916122,3,7,0.8006115191598165,1.1081817986646527
GOLD,4H,zrev,20,2.0,long,True,4.0,120,48.333333333333336,0.9758467263457168,-37.57193731134089,436.6749373113422,-2073.773820986386,2,7,0.8540349734359864,1.0341797927504774
GOLD,4H,zrev,20,2.0,both,False,0.0,374,63.101604278074866,0.777649664900725,-1377.6659999999752,1836.1859999999815,-80.86176184939045,1,8,0.8855519042850791,0.7268082018609949
