arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,p30_sd,pf_pre2025,pf2021,pf2022,pf2026,top1,top5,top10,long_share,avg_bars
V2 tol0.5 | B 1.5R tgt,25.0,2.231133117675782,316,44.936708860759495,1.1047009775452932,6.9085354807205235,24.99934082113891,0.27634870575782594,32.19886334122511,62.68888888888889,1.2344839477627731,1.091103976977129,0.8845285914267677,0.8636032345634037,1.0416154920854377,2.750450373993044,12.895410556974133,25.30415795094976,66.45569620253164,16.569620253164558
V2 tol0.5 | B 1.5R tgt,20.0,1.7653814697265622,316,44.936708860759495,1.1117205802333605,5.744145589659833,19.99977773729454,0.28721047129181093,26.161593198496274,28.711111111111112,0.41573970964154944,1.0988156444629236,0.8898420822556042,0.8685616039307408,1.0477792615611876,2.642363870706659,12.539866154125189,24.714800193616018,66.45569620253164,16.569620253164558
V2 tol0.5 | B 2R tgt,25.0,1.7963098144531247,310,39.03225806451613,1.176495983813132,9.323854852742762,24.99889796199981,0.3729706352222293,27.712094530015303,36.93333333333333,1.321054573129054,1.1047768922090109,0.8672835503212843,0.9749842149666207,1.3821987262901547,3.575799569024492,16.694393562297833,31.168653408555166,66.77419354838709,22.26451612903226
V2 tol0.5 | B 2R tgt,20.0,1.407026672363281,310,39.03225806451613,1.1810721472747838,7.522719482161988,19.998631237840634,0.37616171790436287,22.232077096097147,10.777777777777779,0.6118177732416099,1.1118983321324085,0.872593651724241,0.9810571938805941,1.3926988593569736,3.347414840201422,15.840880783525153,30.10875128778229,66.77419354838709,22.26451612903226
V2 tol0.5 | B 3R tgt,25.0,1.7384713745117186,294,32.6530612244898,1.334659864398173,19.331984035212948,24.99923611314973,0.7733029900479328,26.70205471643706,29.755555555555556,0.7390350732584846,1.259365750890247,0.8698969455124463,0.9988978928425144,1.277594513649325,3.8970913985713547,23.741218993691415,41.78724781576686,66.3265306122449,32.993197278911566
V2 tol0.5 | B 3R tgt,20.0,1.3600253295898437,294,32.6530612244898,1.3415490264802592,15.278583091355236,19.999687526970526,0.7639410901171002,21.392606496200813,7.844444444444445,0.981809868194423,1.2715942497807826,0.8767461448089794,1.006409311537918,1.291219058099044,3.4727388671984007,21.736869403409468,39.4616151259766,66.3265306122449,32.993197278911566
V2 tol0.5 | C time 32 + 4ATR,25.0,2.049824829101562,288,49.30555555555556,1.0493200687264999,1.63960048851286,24.99976702195417,0.06558463073167858,26.20822875439896,28.0,0.6182412330330463,1.0087761335450542,0.7438565306586346,0.9324578371188812,0.8054190390466583,7.75682883787038,30.29836695269787,48.28557492801814,67.01388888888889,27.01736111111111
V2 tol0.5 | C time 32 + 4ATR,20.0,1.620724487304687,288,49.30555555555556,1.0548053901330507,1.4314646096595718,19.999858150263247,0.07157373811877411,21.141664409839557,6.6000000000000005,0.4320493798938569,1.0140550722752846,0.746048475026667,0.9383153119800473,0.8076610163606701,7.741919112149597,30.42066831797705,48.33321632544846,67.01388888888889,27.01736111111111
V2 tol0.5 | C time 64 + 4ATR,25.0,1.9178314208984375,251,47.410358565737056,1.39707455019713,12.34548944071272,24.999077316420614,0.49383780386980924,19.895765963130824,4.866666666666666,0.42513614377131104,1.2519716100448492,0.5621988701924124,1.1209077114517427,0.8152090837924548,8.462763422628912,29.030936499382648,48.459348485173784,69.32270916334662,48.876494023904385
V2 tol0.5 | C time 64 + 4ATR,20.0,1.4965240478515622,251,47.410358565737056,1.399163788259713,9.729989171261288,19.998680655038623,0.48653155371076134,15.781999414984435,0.4444444444444445,0.1133115447465063,1.2586146079201102,0.5642785228096225,1.1268708446859532,0.8198657934663458,7.992530935071954,28.281226470073516,47.86074282735463,69.32270916334662,48.876494023904385
