ft,st,fast,slow,side,rise,win,exit,n,wr,pf1,net1,dd1,top10,pf2,net2
EMA,EMA,20,50,both,True,all-day,cross+3ATR,2816,18.572443181818183,0.5510554190638177,-19206.78540268386,19231.701715495154,-18.72619454319209,0.4761428181344219,-24838.78540268386
EMA,EMA,20,50,both,True,cash10-16,cross,1714,21.29521586931155,0.6437470482981573,-10711.599999999975,10859.199999999973,-32.956794503155535,0.5686410894713725,-14139.599999999975
EMA,EMA,20,50,both,True,cash10-16,cross+3ATR,2304,19.791666666666664,0.5673543871846237,-15872.827696706529,15985.470693898367,-22.659478630554805,0.49327618908049,-20480.82769670653
EMA,EMA,50,200,long,False,all-day,cross,155,31.61290322580645,0.9208775127015677,-573.1000000000049,1527.800000000001,-696.5102076426393,0.8815759477544883,-883.1000000000049
EMA,EMA,50,200,long,False,all-day,cross+3ATR,527,14.800759013282732,0.6763811682890866,-3877.505552949764,4131.871826703191,-109.90055183178767,0.6172144011301101,-4931.505552949764
EMA,EMA,50,200,long,False,cash10-16,cross,147,33.33333333333333,1.02148818764506,139.79999999999654,1527.800000000001,2857.367668097352,0.9769981204689873,-154.20000000000346
EMA,EMA,50,200,long,False,cash10-16,cross+3ATR,457,16.192560175054705,0.7545436175914044,-2587.7316900733895,2930.584789335131,-164.52246638751248,0.690441842277877,-3501.7316900733895
EMA,EMA,50,200,long,True,all-day,cross,525,16.952380952380953,0.8094479259338918,-1949.1000000000013,2167.6000000000004,-198.81996819044684,0.7299908169328555,-2999.1000000000013
EMA,EMA,50,200,long,True,all-day,cross+3ATR,792,14.393939393939394,0.6687897873292552,-4383.402331959908,4530.649772644347,-89.2366181283443,0.5913382563721397,-5967.402331959908
EMA,EMA,50,200,long,True,cash10-16,cross,423,19.62174940898345,0.8816917381007973,-1064.0999999999995,1342.7000000000016,-359.69363781599503,0.8026348419094855,-1910.0999999999995
EMA,EMA,50,200,long,True,cash10-16,cross+3ATR,661,16.187594553706504,0.7258053702170955,-3217.097481115138,3325.9115203036454,-120.81076258381812,0.6467545257165679,-4539.097481115138
EMA,EMA,50,200,both,False,all-day,cross,310,25.806451612903224,0.7199491360610359,-4118.400000000011,4217.80000000001,-111.87839937839912,0.6876322572564316,-4738.400000000011
EMA,EMA,50,200,both,False,all-day,cross+3ATR,1039,14.629451395572666,0.5546444558454321,-10550.451033535075,10610.775045060698,-45.07011107758053,0.504289403280382,-12628.451033535075
EMA,EMA,50,200,both,False,cash10-16,cross,291,28.52233676975945,0.7722813163028462,-3198.4000000000033,4309.499999999996,-146.32628814407192,0.7386483048503952,-3780.4000000000033
