year,S,k,round,config,n,pf,exp,net_R,net_usd,wr,dd,tp,sl,time,hold
2024-25,100.0,11,False,yotov,79,1.1372387717489638,0.06974891470642705,5.510164261807737,179.14499999999998,41.77215189873418,6.750860232906517,13,37,29,1745.18415
2024-25,250.0,0,True,yotov,10,1.868009808961725,0.22604442545798054,2.2604442545798054,171.63500000000002,60.0,2.05208611306806,0,2,8,3354.655116666667
2024-25,250.0,0,True,no-filter,12,0.0,-1.5390902220181177,-18.469082664217414,-58.412000000000006,0.0,18.46908266421741,0,12,0,0.045391666666666663
2024-25,250.0,0,True,tol-target,10,1.9225790706265233,0.2402551835316023,2.402551835316023,182.28500000000005,60.0,2.05208611306806,2,2,6,2627.803158333333
2024-25,250.0,0,True,wide-stop,9,4.847216910514822,0.32241247785143723,2.9017123006629353,292.285,66.66666666666666,0.3508135444151277,0,0,9,3321.6904
2024-25,250.0,0,True,long-clock,12,1.5325459719107628,0.23318658563923478,2.7982390276708173,211.73400000000007,50.0,4.209631649849098,2,5,5,12013.611191666667
2024-25,250.0,1,False,yotov,9,0.6892185702249517,-0.10928588542201943,-0.9835729687981749,-75.40199999999999,22.22222222222222,3.164838290080944,0,2,7,3373.920433333333
2024-25,250.0,2,False,yotov,10,0.7869586765531671,-0.07853895745494924,-0.7853895745494923,-58.53299999999998,40.0,2.34114933983504,0,3,7,3809.780333333333
2024-25,250.0,3,False,yotov,7,1.2752746559182233,0.09633588684881886,0.674351207941732,50.43400000000001,42.857142857142854,1.0461063716892562,0,2,5,3095.34585
2024-25,250.0,4,False,yotov,11,0.7912301846929518,-0.0915871368909623,-1.0074585058005854,-76.511,45.45454545454545,2.8680702838676377,0,4,7,2716.6308833333333
2024-25,250.0,5,False,yotov,10,0.21838217963413825,-0.3493784406537932,-3.493784406537932,-264.02000000000004,40.0,4.31835589703584,0,4,6,3600.7358
2024-25,250.0,6,False,yotov,10,0.4128167670545563,-0.17936464448618167,-1.7936464448618168,-135.55700000000002,40.0,2.4964309957781756,0,1,9,4022.714708333333
2024-25,250.0,7,False,yotov,11,0.44341434130901236,-0.12065466291310177,-1.3272012920441194,-100.32900000000004,36.36363636363637,1.7790365975483375,0,1,10,2784.22785
2024-25,250.0,8,False,yotov,11,0.7850970530259157,-0.06283612536662592,-0.6911973790328851,-50.87100000000001,54.54545454545454,2.178753377066669,0,2,9,4313.7644
2024-25,250.0,9,False,yotov,6,4.405384552900684,0.21687763048789757,1.3012657829273855,102.613,66.66666666666666,0.3821200697639202,0,0,6,4288.2182416666665
2024-25,250.0,10,False,yotov,6,4.487981417145973,0.6616774737997929,3.9700648427987573,299.731,66.66666666666666,1.0021474588403723,1,1,4,3425.306316666667
2024-25,250.0,11,False,yotov,9,1.5517031408402668,0.2093014219375331,1.8837127974377978,142.115,55.55555555555556,2.004708423316348,1,3,5,3312.582716666667
