t_ms,dir,entry,pnl_usd,pnl_R,tag,hold_min,year,S
1750147657981,-1,3384.698,-15.387,-1.0055548294340608,SL,998.6367833333334,2024-25,50.0
1750210630309,-1,3384.698,34.698,2.2675467259181805,TP,1489.2994666666666,2024-25,50.0
1750304396518,1,3365.202,-15.347,-1.00953821865544,SL,1169.6076666666668,2024-25,50.0
1750412703590,1,3365.302,-15.307,-1.0003267546725918,SL,3830.2294333333334,2024-25,50.0
1750655405092,1,3365.325,-15.37,-1.002936378466558,SL,837.4223666666667,2024-25,50.0
1750709008909,-1,3334.241,-15.761,-1.0001269116060665,SL,26.5554,2024-25,50.0
1750729031893,-1,3334.625,34.625,2.252032520325203,TP,482.89495,2024-25,50.0
1750765039618,1,3315.295,34.705,2.2690421706440014,TP,2480.79575,2024-25,50.0
1750923388930,-1,3334.565,34.565,2.2393909944930352,TP,946.1609666666667,2024-25,50.0
1750994593762,-1,3284.665,34.665,2.2605151613955003,TP,3785.31955,2024-25,50.0
1751222676753,1,3265.505,34.495,2.2247662044501775,TP,1224.2638833333333,2024-25,50.0
1751400181571,-1,3334.785,-15.29,-1.004929346040092,SL,737.0891,2024-25,50.0
1751450211337,-1,3334.735,-15.267,-1.0001310186701604,SL,184.1225,2024-25,50.0
1751480871370,1,3365.352,-15.427,-1.0048853569567484,SL,52.7857,2024-25,50.0
1751531416244,-1,3329.415,-7.52,-0.365314549429196,TIME,1708.31645,2024-25,50.0
1751882012653,1,3315.602,-15.627,-1.0016023586719651,SL,1483.5575666666666,2024-25,50.0
1752034850397,-1,3284.645,-15.42,-1.004233148811462,SL,329.58455,2024-25,50.0
1752073462884,1,3315.291,34.709,2.269897325223988,TP,2486.3250666666668,2024-25,50.0
1752232329475,1,3365.372,-15.407,-1.0022768670309654,SL,118.7392,2024-25,50.0
1752429703715,1,3367.145,-17.17,-1.0014581510644502,SL,887.8565333333333,2024-25,50.0
1752544025628,1,3365.305,-15.33,-1.0016334531198954,SL,389.92083333333335,2024-25,50.0
1752572131228,-1,3334.499,-15.622,-1.0078059480033545,SL,56.5458,2024-25,50.0
1752578963168,-1,3334.329,-15.673,-1.000127624274137,SL,1416.91945,2024-25,50.0
1752664593915,1,3365.545,-15.65,-1.0067545834673528,SL,38.7039,2024-25,50.0
1752718370566,-1,3334.735,-15.28,-1.0009826400262036,SL,1528.3048333333334,2024-25,50.0
1753061065134,1,3365.165,34.835,2.297065611605671,TP,549.5202833333333,2024-25,50.0
1753149327472,-1,3384.565,-15.49,-1.0035633300939424,SL,388.04173333333335,2024-25,50.0
1753176439552,1,3415.385,-15.487,-1.0066298342541435,SL,1590.3202166666667,2024-25,50.0
1753272320516,-1,3384.475,34.475,2.2206119162640903,TP,2419.6643,2024-25,50.0
1753438628886,-1,3334.468,24.483,1.5762941024980686,TIME,4319.957633333333,2024-25,50.0
1753887000643,-1,3284.599,-15.556,-1.0100642815401597,SL,665.95345,2024-25,50.0
1753998700230,-1,3284.335,-15.767,-1.0065113309926588,SL,241.25771666666665,2024-25,50.0
1754037065228,1,3315.402,34.598,2.2463316452408777,TP,43.59215,2024-25,50.0
1754244001093,1,3366.695,-16.71,-1.0008984725965857,SL,177.61701666666667,2024-25,50.0
1754291773526,1,3365.305,-15.306,-1.000065338124796,SL,1457.8858,2024-25,50.0
1754383110519,1,3365.255,34.745,2.2776138970829236,TP,3307.5106666666666,2024-25,50.0
1754600888505,-1,3384.069,-16.036,-1.006590923356977,SL,358.35001666666665,2024-25,50.0
1754636370556,-1,3384.385,-15.81,-1.0124879923150816,SL,92.41956666666667,2024-25,50.0
1754647750087,-1,3384.219,-15.836,-1.0034852037259996,SL,142.85938333333334,2024-25,50.0
1754661590544,-1,3382.679,-17.346,-1.0014433346804457,SL,5.1818,2024-25,50.0
1754858274445,-1,3384.625,34.625,2.252032520325203,TP,710.4667666666667,2024-25,50.0
1754993721150,-1,3334.409,-15.692,-1.0064780963376307,SL,72.13235,2024-25,50.0
1755063747112,1,3365.345,-15.36,-1.0009775171065494,SL,524.7635666666666,2024-25,50.0
1755166266820,-1,3334.659,-2.086,-0.13597549051561175,TIME,1848.8711166666667,2024-25,50.0
1755511255540,-1,3334.739,-10.756,-0.7048030928510582,TIME,2878.9753166666665,2024-25,50.0
