year,S,k,round,n,p,p_up,p_dn,unres
2024-25,12.5,5,False,178363,0.502082831080437,0.5372518690384119,0.4668857828730397,199
2024-25,12.5,6,False,179684,0.5020814318470204,0.5462465369338095,0.4578819023016023,95
2024-25,12.5,7,False,179951,0.502108907424799,0.5355456555309906,0.4686457638425617,33
2024-25,12.5,8,False,173709,0.5021789314313018,0.520002301760847,0.4843409852682017,16
2024-25,12.5,9,False,176778,0.5021156478747355,0.5179702343255225,0.4862485003508613,16
2024-25,12.5,10,False,181832,0.5020898411720709,0.5103131322016008,0.4938600352112676,18
2024-25,12.5,11,False,179499,0.5020807915364431,0.5163334632733753,0.4878168401810197,31
2024-25,25.0,0,True,86485,0.5012198647164248,0.5140433204651055,0.4883866191643918,318
2024-25,25.0,1,False,82310,0.5012270683999515,0.5173661711843001,0.48507462686567165,262
2024-25,25.0,2,False,85850,0.5011648223645894,0.5379814633691956,0.4643190081103757,164
2024-25,25.0,3,False,87240,0.5011577258138469,0.5298256067099022,0.4724674907689838,214
2024-25,25.0,4,False,90177,0.5011588320746976,0.5022613399547732,0.5000554680393158,612
2024-25,25.0,5,False,90647,0.5011859190044899,0.48664564081074524,0.5157374299209818,1276
2024-25,25.0,6,False,93800,0.501087420042644,0.4987957456785387,0.5033807563509161,35
2024-25,25.0,7,False,94869,0.5010909780855707,0.5007059914438052,0.5014762326542663,103
2024-25,25.0,8,False,93817,0.5010499163264653,0.5161214704315397,0.485967755693935,93
2024-25,25.0,9,False,92237,0.5010895844400837,0.5582529532892598,0.4438852978178821,95
2024-25,25.0,10,False,82927,0.5012360268670035,0.5587753134040502,0.44365092769078585,16
